chromo	start	end	width	strand	name
1	45321	45333	13	-	Abf1
1	45443	45455	13	+	Abf1
1	45501	45513	13	-	Abf1
1	61166	61178	13	-	Abf1
1	62660	62672	13	-	Abf1
1	108791	108803	13	-	Abf1
1	124677	124689	13	-	Abf1
2	75067	75079	13	-	Abf1
2	146014	146026	13	-	Abf1
2	216545	216557	13	-	Abf1
2	258147	258159	13	+	Abf1
2	258184	258196	13	+	Abf1
2	297939	297951	13	+	Abf1
2	392468	392480	13	-	Abf1
2	392532	392544	13	-	Abf1
2	401006	401018	13	+	Abf1
2	444874	444886	13	-	Abf1
2	458519	458531	13	-	Abf1
2	458725	458737	13	-	Abf1
2	484628	484640	13	-	Abf1
2	495463	495475	13	+	Abf1
2	535077	535089	13	+	Abf1
2	618678	618690	13	+	Abf1
2	647320	647332	13	+	Abf1
2	770731	770743	13	+	Abf1
2	770755	770767	13	+	Abf1
2	782446	782458	13	-	Abf1
3	47050	47062	13	-	Abf1
3	65719	65731	13	+	Abf1
3	103491	103503	13	-	Abf1
3	216488	216500	13	+	Abf1
3	279951	279963	13	+	Abf1
4	87357	87369	13	+	Abf1
4	114474	114486	13	-	Abf1
4	198545	198557	13	-	Abf1
4	242164	242176	13	+	Abf1
4	251398	251410	13	+	Abf1
4	272052	272064	13	+	Abf1
4	304957	304969	13	+	Abf1
4	326317	326329	13	+	Abf1
4	363728	363740	13	-	Abf1
4	392623	392635	13	+	Abf1
4	417057	417069	13	-	Abf1
4	501652	501664	13	+	Abf1
4	521559	521571	13	+	Abf1
4	716749	716761	13	-	Abf1
4	848052	848064	13	-	Abf1
4	848232	848244	13	-	Abf1
4	867895	867907	13	-	Abf1
4	930758	930770	13	+	Abf1
4	952569	952581	13	+	Abf1
4	1020497	1020509	13	-	Abf1
4	1030374	1030386	13	+	Abf1
4	1055023	1055035	13	-	Abf1
4	1087417	1087429	13	-	Abf1
4	1125219	1125231	13	-	Abf1
4	1127698	1127710	13	-	Abf1
4	1150634	1150646	13	+	Abf1
4	1195294	1195306	13	+	Abf1
4	1196418	1196430	13	+	Abf1
4	1201983	1201995	13	-	Abf1
4	1242790	1242802	13	+	Abf1
4	1267246	1267258	13	-	Abf1
4	1277445	1277457	13	-	Abf1
4	1277460	1277472	13	-	Abf1
4	1289016	1289028	13	-	Abf1
4	1293249	1293261	13	+	Abf1
4	1317973	1317985	13	+	Abf1
4	1367315	1367327	13	-	Abf1
4	1490865	1490877	13	+	Abf1
5	82903	82915	13	+	Abf1
5	167715	167727	13	-	Abf1
5	208664	208676	13	+	Abf1
5	302601	302613	13	-	Abf1
5	386968	386980	13	-	Abf1
5	387021	387033	13	-	Abf1
5	409544	409556	13	+	Abf1
5	491253	491265	13	+	Abf1
5	509978	509990	13	-	Abf1
6	40308	40320	13	+	Abf1
6	103334	103346	13	+	Abf1
6	103368	103380	13	-	Abf1
6	164884	164896	13	-	Abf1
7	23452	23464	13	-	Abf1
7	81340	81352	13	-	Abf1
7	141883	141895	13	-	Abf1
7	180567	180579	13	-	Abf1
7	306427	306439	13	-	Abf1
7	596357	596369	13	-	Abf1
7	601494	601506	13	+	Abf1
7	607253	607265	13	+	Abf1
7	750259	750271	13	+	Abf1
7	867650	867662	13	+	Abf1
7	922028	922040	13	+	Abf1
7	953663	953675	13	+	Abf1
7	996723	996735	13	-	Abf1
7	999298	999310	13	+	Abf1
7	1027123	1027135	13	-	Abf1
7	1058962	1058974	13	+	Abf1
8	48124	48136	13	-	Abf1
8	48156	48168	13	+	Abf1
8	190275	190287	13	-	Abf1
8	209398	209410	13	-	Abf1
8	227286	227298	13	-	Abf1
8	255944	255956	13	+	Abf1
8	267373	267385	13	-	Abf1
8	284740	284752	13	-	Abf1
8	341628	341640	13	+	Abf1
8	422553	422565	13	+	Abf1
9	77863	77875	13	+	Abf1
9	96732	96744	13	-	Abf1
9	261032	261044	13	-	Abf1
9	285351	285363	13	-	Abf1
9	289136	289148	13	+	Abf1
9	292348	292360	13	+	Abf1
9	348969	348981	13	-	Abf1
9	375255	375267	13	+	Abf1
9	399656	399668	13	+	Abf1
10	83888	83900	13	+	Abf1
10	94679	94691	13	+	Abf1
10	94844	94856	13	-	Abf1
10	207694	207706	13	+	Abf1
10	211802	211814	13	-	Abf1
10	227183	227195	13	-	Abf1
10	312824	312836	13	+	Abf1
10	316593	316605	13	+	Abf1
10	415882	415894	13	-	Abf1
10	449066	449078	13	-	Abf1
10	521887	521899	13	+	Abf1
10	555050	555062	13	-	Abf1
10	555747	555759	13	+	Abf1
10	604357	604369	13	-	Abf1
10	640502	640514	13	-	Abf1
10	683818	683830	13	+	Abf1
10	684382	684394	13	-	Abf1
11	75681	75693	13	-	Abf1
11	82777	82789	13	+	Abf1
11	99902	99914	13	-	Abf1
11	112640	112652	13	-	Abf1
11	125619	125631	13	+	Abf1
11	134244	134256	13	-	Abf1
11	176633	176645	13	+	Abf1
11	188858	188870	13	-	Abf1
11	256278	256290	13	+	Abf1
11	262842	262854	13	-	Abf1
11	288360	288372	13	+	Abf1
11	327609	327621	13	-	Abf1
11	359558	359570	13	-	Abf1
